Name,Position,Location,Date,Rank,Latitude,Longitude
习近平,总书记,北京市,2012-11-15,国家级,39.9042,116.4074
习近平,主席,北京市,2013-03-14,国家级,39.9042,116.4074
习近平,省委书记,浙江省,2002-10-11,省部级,30.2741,120.1551
习近平,市委书记,厦门市,1985-06-01,厅局级,24.4797,118.0895
李克强,总理,北京市,2013-03-15,国家级,39.9042,116.4074
李克强,省长,河南省,1998-12-01,省部级,34.7472,113.6249
李克强,省委书记,辽宁省,2004-12-01,省部级,41.8057,123.4315
王岐山,书记,北京市,2017-10-25,国家级,39.9042,116.4074
王岐山,市长,北京市,2003-04-01,省部级,39.9042,116.4074
王岐山,省长,海南省,2002-04-01,省部级,20.0444,110.1999
张德江,委员长,北京市,2013-03-14,国家级,39.9042,116.4074
张德江,省委书记,广东省,2007-12-01,省部级,23.0215,113.1221
张德江,省委书记,浙江省,2002-10-01,省部级,30.2741,120.1551
俞正声,主席,北京市,2013-03-13,国家级,39.9042,116.4074
俞正声,市委书记,上海市,2007-10-01,省部级,31.2304,121.4737
俞正声,省委书记,湖北省,2005-12-01,省部级,30.5928,114.3055
